Kyle Lowry,Toronto Raptors,2016,2851,77,77,1634,512,56,26,1198,.427,.388,158
DeMar DeRozan,Toronto Raptors,2016,2804,78,78,1830,614,56,26,1377,.446,.338,81
Cory Joseph,Toronto Raptors,2016,2046,80,4,677,257,56,26,585,.439,.273,63
Patrick Patterson,Toronto Raptors,2016,2020,79,0,543,204,56,26,493,.414,.362,53
Bismack Biyombo,Toronto Raptors,2016,1808,82,22,454,156,56,26,288,.542,.000,19
Terrence Ross,Toronto Raptors,2016,1747,73,7,720,270,56,26,626,.431,.386,54
Luis Scola,Toronto Raptors,2016,1636,76,76,664,269,56,26,598,.450,.404,46
Jonas Valanciunas,Toronto Raptors,2016,1557,60,59,768,303,56,26,536,.565,,25
James Johnson,Toronto Raptors,2016,926,57,32,287,114,56,26,240,.475,.303,29
DeMarre Carroll,Toronto Raptors,2016,786,26,22,286,105,56,26,270,.389,.390,44
Norman Powell,Toronto Raptors,2016,725,49,24,273,97,56,26,229,.424,.404,29
Jason Thompson,Toronto Raptors,2016,292,19,6,87,32,56,26,66,.485,.333,8
Delon Wright,Toronto Raptors,2016,229,27,1,103,36,56,26,80,.450,.385,8
Lucas Nogueira,Toronto Raptors,2016,225,29,1,65,28,56,26,44,.636,.333,12
Anthony Bennett,Toronto Raptors,2016,84,19,0,28,8,56,26,27,.296,.214,5
Bruno Caboclo,Toronto Raptors,2016,43,6,1,3,1,56,26,12,.083,.143,2
Paul Millsap,Atlanta Hawks,2016,2647,81,81,1385,501,48,34,1066,.470,.319,147
Al Horford,Atlanta Hawks,2016,2631,82,82,1249,529,48,34,1048,.505,.344,68
Kyle Korver,Atlanta Hawks,2016,2401,80,80,739,268,48,34,616,.435,.398,60
Jeff Teague,Atlanta Hawks,2016,2255,79,78,1239,434,48,34,988,.439,.400,97
Kent Bazemore,Atlanta Hawks,2016,2083,75,68,872,320,48,34,725,.441,.357,98
Thabo Sefolosha,Atlanta Hawks,2016,1758,75,11,480,188,48,34,372,.505,.339,85
Dennis Schroder,Atlanta Hawks,2016,1621,80,6,879,329,48,34,781,.421,.322,70
Mike Scott,Atlanta Hawks,2016,1146,75,0,464,176,48,34,376,.468,.392,25
Tim Hardaway,Atlanta Hawks,2016,864,51,1,326,114,48,34,265,.430,.338,21
Tiago Splitter,Atlanta Hawks,2016,579,36,2,201,81,48,34,155,.523,.000,20
Mike Muscala,Atlanta Hawks,2016,565,60,0,195,76,48,34,152,.500,.308,13
Lamar Patterson,Atlanta Hawks,2016,395,35,0,84,28,48,34,80,.350,.245,9
Kris Humphries,Atlanta Hawks,2016,295,21,0,134,47,48,34,101,.465,.258,10
Justin Holiday,Atlanta Hawks,2016,263,26,1,63,24,48,34,73,.329,.222,13
Shelvin Mack,Atlanta Hawks,2016,179,24,0,93,40,48,34,95,.421,.148,8
Kirk Hinrich,Atlanta Hawks,2016,76,11,0,5,2,48,34,11,.182,.167,2
Walter Tavares,Atlanta Hawks,2016,73,11,0,25,11,48,34,19,.579,,1
Luol Deng,Miami Heat,2016,2394,74,73,911,339,48,34,745,.455,.344,74
Goran Dragic,Miami Heat,2016,2363,72,72,1018,417,48,34,875,.477,.312,71
Dwyane Wade,Miami Heat,2016,2258,74,73,1409,540,48,34,1183,.456,.159,79
Justise Winslow,Miami Heat,2016,2232,78,8,502,195,48,34,462,.422,.276,68
Hassan Whiteside,Miami Heat,2016,2125,73,43,1040,413,48,34,682,.606,,44
Chris Bosh,Miami Heat,2016,1778,53,53,1010,358,48,34,767,.467,.365,36
Gerald Green,Miami Heat,2016,1557,69,14,616,230,48,34,587,.392,.323,38
Josh Richardson,Miami Heat,2016,1107,52,2,341,123,48,34,272,.452,.461,36
Tyler Johnson,Miami Heat,2016,863,36,5,314,118,48,34,243,.486,.380,24
Joe Johnson,Miami Heat,2016,769,24,24,321,130,48,34,251,.518,.417,21
Amar'e Stoudemire,Miami Heat,2016,762,52,36,300,125,48,34,221,.566,,18
Josh McRoberts,Miami Heat,2016,595,42,1,150,55,48,34,148,.372,.245,18
Beno Udrih,Miami Heat,2016,587,36,5,158,66,48,34,152,.434,.333,11
Udonis Haslem,Miami Heat,2016,260,37,0,59,23,48,34,61,.377,.111,5
Mario Chalmers,Miami Heat,2016,120,6,0,33,10,48,34,32,.313,.091,8
Chris Andersen,Miami Heat,2016,36,7,1,13,4,48,34,10,.400,.400,1
Jarnell Stokes,Miami Heat,2016,14,5,0,7,3,48,34,5,.600,,1
James Ennis,Miami Heat,2016,7,3,0,0,0,48,34,0,,,0
Briante Weber,Miami Heat,2016,3,1,0,2,1,48,34,1,1.000,,0
Khris Middleton,Milwaukee Bucks,2016,2852,79,79,1434,507,33,49,1142,.444,.396,131
Giannis Antetokounmpo,Milwaukee Bucks,2016,2823,80,79,1350,513,33,49,1013,.506,.257,94
Jabari Parker,Milwaukee Bucks,2016,2408,76,72,1070,443,33,49,899,.493,.257,69
Greg Monroe,Milwaukee Bucks,2016,2314,79,67,1210,491,33,49,941,.522,.000,72
Michael Carter-Williams,Milwaukee Bucks,2016,1649,54,37,623,251,33,49,555,.452,.273,80
Jerryd Bayless,Milwaukee Bucks,2016,1505,52,18,541,185,33,49,437,.423,.437,47
O.J. Mayo,Milwaukee Bucks,2016,1090,41,24,321,119,33,49,321,.371,.321,48
Rashad Vaughn,Milwaukee Bucks,2016,1001,70,6,217,81,33,49,266,.305,.293,29
John Henson,Milwaukee Bucks,2016,960,57,1,397,164,33,49,291,.564,.000,18
Miles Plumlee,Milwaukee Bucks,2016,870,61,14,314,140,33,49,233,.601,,21
Johnny O'Bryant,Milwaukee Bucks,2016,857,66,4,200,86,33,49,209,.411,1.000,18
Tyler Ennis,Milwaukee Bucks,2016,654,46,7,206,84,33,49,187,.449,.333,25
Greivis Vasquez,Milwaukee Bucks,2016,460,23,0,130,45,33,49,138,.326,.247,10
Chris Copeland,Milwaukee Bucks,2016,156,24,1,50,17,33,49,51,.333,.278,2
Damien Inglis,Milwaukee Bucks,2016,156,20,1,36,13,33,49,37,.351,.231,6
Jared Cunningham,Milwaukee Bucks,2016,55,4,0,16,4,33,49,14,.286,.286,2
Steve Novak,Milwaukee Bucks,2016,20,3,0,7,2,33,49,6,.333,.333,0
Jimmy Butler,Chicago Bulls,2016,2474,67,67,1399,470,42,40,1035,.454,.312,110
Pau Gasol,Chicago Bulls,2016,2291,72,72,1187,467,42,40,995,.469,.348,42
Derrick Rose,Chicago Bulls,2016,2097,66,66,1080,447,42,40,1048,.427,.293,44
Taj Gibson,Chicago Bulls,2016,1936,73,55,627,263,42,40,500,.526,.000,47
Doug McDermott,Chicago Bulls,2016,1861,81,4,764,291,42,40,644,.452,.425,14
Nikola Mirotic,Chicago Bulls,2016,1646,66,38,777,248,42,40,609,.407,.390,58
Tony Snell,Chicago Bulls,2016,1301,64,33,338,126,42,40,339,.372,.361,16
E'Twaun Moore,Chicago Bulls,2016,1263,59,22,443,187,42,40,389,.481,.452,37
Aaron Brooks,Chicago Bulls,2016,1108,69,0,491,188,42,40,469,.401,.357,30
Bobby Portis,Chicago Bulls,2016,1102,62,4,436,186,42,40,436,.427,.308,25
Mike Dunleavy,Chicago Bulls,2016,703,31,30,222,77,42,40,188,.410,.394,14
Joakim Noah,Chicago Bulls,2016,635,29,2,124,51,42,40,133,.383,.000,18
Kirk Hinrich,Chicago Bulls,2016,555,35,7,132,47,42,40,118,.398,.411,13
Justin Holiday,Chicago Bulls,2016,510,27,4,176,64,42,40,155,.413,.433,19
