Toronto Raptors,2016,82,.370,.451,6669,.373,.444,6732
Atlanta Hawks,2016,82,.350,.458,6923,.338,.432,7058
Miami Heat,2016,82,.336,.470,6697,.347,.442,6914
Milwaukee Bucks,2016,82,.345,.467,6740,.352,.454,6817
Chicago Bulls,2016,82,.371,.441,7170,.345,.441,7333
Detroit Pistons,2016,82,.345,.439,7087,.355,.461,6903
New Orleans Pelicans,2016,82,.360,.448,7040,.369,.468,6877
New Orleans Pelicans,2015,82,.370,.457,6795,.335,.456,6814
New Orleans Pelicans,2014,82,.373,.459,6761,.357,.465,6567
New Orleans Hornets,2013,82,.363,.448,6589,.374,.471,6435
New Orleans Hornets,2012,66,.333,.451,5103,.317,.444,5188
Houston Rockets,2011,82,.367,.454,6975,.358,.468,6979
New Orleans Hornets,2010,82,.363,.464,6842,.355,.483,6730
Memphis Grizzlies,2009,82,.360,.454,6311,.355,.473,6378
Memphis Grizzlies,2008,82,.349,.454,6737,.364,.480,7076
Memphis Grizzlies,2007,82,.367,.465,6448,.389,.486,6761
Houston Rockets,2006,82,.332,.433,6252,.369,.429,6310
New Orleans/Oklahoma City Hornets,2006,82,.339,.440,6428,.367,.459,6286
Memphis Grizzlies,2006,82,.374,.448,6125,.334,.436,6172
Dallas Mavericks,2006,82,.374,.462,6375,.361,.443,6319
San Antonio Spurs,2006,82,.385,.472,6342,.339,.433,6420
Golden State Warriors,2006,82,.341,.433,6785,.351,.457,6674
Sacramento Kings,2006,82,.351,.454,6500,.351,.454,6726
Los Angeles Lakers,2006,82,.349,.453,6607,.353,.450,6547
Los Angeles Clippers,2006,82,.344,.465,6443,.347,.435,6638
Phoenix Suns,2006,82,.399,.479,7167,.363,.454,7141
Portland Trail Blazers,2006,82,.349,.445,6267,.381,.468,6472
Minnesota Timberwolves,2006,82,.329,.456,6340,.364,.441,6474
Seattle SuperSonics,2006,82,.371,.459,6711,.375,.485,6596
Utah Jazz,2006,82,.336,.442,6207,.378,.449,6077
Denver Nuggets,2006,82,.325,.461,6672,.358,.454,6764
Atlanta Hawks,2006,82,.367,.454,6496,.368,.478,6433
Charlotte Bobcats,2006,82,.339,.433,6843,.356,.478,6410
Orlando Magic,2006,82,.376,.472,6167,.357,.454,6327
Washington Wizards,2006,82,.357,.447,6656,.363,.465,6477
Miami Heat,2006,82,.345,.478,6355,.361,.440,6529
Milwaukee Bucks,2006,82,.380,.453,6566,.354,.466,6383
Chicago Bulls,2006,82,.379,.446,6737,.351,.426,6515
Indiana Pacers,2006,82,.349,.444,6274,.343,.435,6504
Cleveland Cavaliers,2006,82,.339,.454,6412,.356,.455,6481
Detroit Pistons,2006,82,.384,.455,6558,.325,.452,6450
New York Knicks,2006,82,.362,.455,6206,.378,.467,6359
Toronto Raptors,2006,82,.375,.454,6639,.373,.491,6448
Boston Celtics,2006,82,.362,.467,6322,.353,.456,6462
Philadelphia 76ers,2006,82,.364,.458,6546,.351,.463,6699
New Jersey Nets,2006,82,.330,.440,6317,.348,.439,6222
New Orleans/Oklahoma City Hornets,2007,82,.362,.445,6674,.355,.457,6579
Houston Rockets,2007,82,.372,.445,6528,.351,.429,6503
San Antonio Spurs,2007,82,.381,.474,6328,.334,.443,6463
Dallas Mavericks,2007,82,.381,.467,6442,.349,.447,6241
Sacramento Kings,2007,82,.350,.450,6532,.365,.472,6671
Los Angeles Clippers,2007,82,.348,.456,6318,.339,.452,6436
Golden State Warriors,2007,82,.356,.463,7048,.366,.462,6871
Los Angeles Lakers,2007,82,.353,.466,6664,.358,.461,6719
Phoenix Suns,2007,82,.399,.494,6855,.363,.457,7087
Seattle SuperSonics,2007,82,.362,.460,6628,.361,.476,6568
Minnesota Timberwolves,2007,82,.353,.461,6503,.348,.460,6689
Portland Trail Blazers,2007,82,.346,.450,6392,.361,.471,6292
Denver Nuggets,2007,82,.336,.465,6805,.353,.460,7088
Utah Jazz,2007,82,.335,.474,6471,.355,.455,6191
Atlanta Hawks,2007,82,.329,.444,6372,.376,.466,6335
