Kyle Lowry,Toronto Raptors,2016,2851,77,77,1634,56,26
DeMar DeRozan,Toronto Raptors,2016,2804,78,78,1830,56,26
Cory Joseph,Toronto Raptors,2016,2046,80,4,677,56,26
Patrick Patterson,Toronto Raptors,2016,2020,79,0,543,56,26
Bismack Biyombo,Toronto Raptors,2016,1808,82,22,454,56,26
Terrence Ross,Toronto Raptors,2016,1747,73,7,720,56,26
Luis Scola,Toronto Raptors,2016,1636,76,76,664,56,26
Jonas Valanciunas,Toronto Raptors,2016,1557,60,59,768,56,26
James Johnson,Toronto Raptors,2016,926,57,32,287,56,26
DeMarre Carroll,Toronto Raptors,2016,786,26,22,286,56,26
Norman Powell,Toronto Raptors,2016,725,49,24,273,56,26
Jason Thompson,Toronto Raptors,2016,292,19,6,87,56,26
Delon Wright,Toronto Raptors,2016,229,27,1,103,56,26
Lucas Nogueira,Toronto Raptors,2016,225,29,1,65,56,26
Anthony Bennett,Toronto Raptors,2016,84,19,0,28,56,26
Bruno Caboclo,Toronto Raptors,2016,43,6,1,3,56,26
Evan Fournier,Orlando Magic,2016,2566,79,71,1213,35,47
Victor Oladipo,Orlando Magic,2016,2379,72,52,1153,35,47
Elfrid Payton,Orlando Magic,2016,2145,73,69,778,35,47
Nikola Vucevic,Orlando Magic,2016,2037,65,60,1181,35,47
Aaron Gordon,Orlando Magic,2016,1863,78,37,719,35,47
Tobias Harris,Orlando Magic,2016,1610,49,49,669,35,47
Mario Hezonja,Orlando Magic,2016,1413,79,9,478,35,47
Jason Smith,Orlando Magic,2016,1181,76,2,546,35,47
Andrew Nicholson,Orlando Magic,2016,823,56,0,384,35,47
Channing Frye,Orlando Magic,2016,754,44,29,229,35,47
Dewayne Dedmon,Orlando Magic,2016,705,58,20,255,35,47
C.J. Watson,Orlando Magic,2016,656,33,2,142,35,47
Shabazz Napier,Orlando Magic,2016,600,55,0,203,35,47
Brandon Jennings,Orlando Magic,2016,452,25,6,175,35,47
Ersan Ilyasova,Orlando Magic,2016,447,22,4,178,35,47
Devyn Marble,Orlando Magic,2016,249,28,0,60,35,47
Keith Appling,Orlando Magic,2016,27,5,0,6,35,47
John Wall,Washington Wizards,2016,2784,77,77,1531,41,41
Otto Porter,Washington Wizards,2016,2276,75,73,871,41,41
Marcin Gortat,Washington Wizards,2016,2256,75,74,1012,41,41
Jared Dudley,Washington Wizards,2016,2098,81,41,638,41,41
Garrett Temple,Washington Wizards,2016,1951,80,43,582,41,41
Bradley Beal,Washington Wizards,2016,1708,55,35,958,41,41
Ramon Sessions,Washington Wizards,2016,1667,82,5,810,41,41
Nene Hilario,Washington Wizards,2016,1094,57,11,525,41,41
Gary Neal,Washington Wizards,2016,807,40,2,390,41,41
Markieff Morris,Washington Wizards,2016,712,27,21,335,41,41
Kelly Oubre,Washington Wizards,2016,671,63,9,236,41,41
Kris Humphries,Washington Wizards,2016,466,28,14,180,41,41
Drew Gooden,Washington Wizards,2016,305,30,0,82,41,41
Marcus Thornton,Washington Wizards,2016,224,14,2,118,41,41
DeJuan Blair,Washington Wizards,2016,218,29,0,61,41,41
Alan Anderson,Washington Wizards,2016,192,13,0,65,41,41
Jarell Eddie,Washington Wizards,2016,147,26,0,63,41,41
J.J. Hickson,Washington Wizards,2016,131,15,0,69,41,41
Ryan Hollins,Washington Wizards,2016,48,5,3,8,41,41
Kemba Walker,Charlotte Hornets,2016,2885,81,81,1689,48,34
Nicolas Batum,Charlotte Hornets,2016,2448,70,70,1046,48,34
Marvin Williams,Charlotte Hornets,2016,2338,81,81,948,48,34
Jeremy Lin,Charlotte Hornets,2016,2048,78,13,914,48,34
Cody Zeller,Charlotte Hornets,2016,1774,73,60,638,48,34
Frank Kaminsky,Charlotte Hornets,2016,1708,81,3,606,48,34
Jeremy Lamb,Charlotte Hornets,2016,1227,66,0,580,48,34
Al Jefferson,Charlotte Hornets,2016,1096,47,18,562,48,34
Spencer Hawes,Charlotte Hornets,2016,1035,57,6,340,48,34
P.J. Hairston,Charlotte Hornets,2016,938,48,43,286,48,34
Courtney Lee,Charlotte Hornets,2016,845,28,28,250,48,34
